n,scheme,trial,latency_us
128,hash_only,174,1
128,lattice_only,174,42
128,hybrid,175,46
128,hash_only,175,1
128,lattice_only,175,41
128,hybrid,176,46
128,hash_only,176,1
128,lattice_only,176,43
128,hybrid,177,44
128,hash_only,177,1
128,lattice_only,177,41
128,hybrid,178,46
128,hash_only,178,1
128,lattice_only,178,43
128,hybrid,179,44
128,hash_only,179,1
128,lattice_only,179,53
128,hybrid,180,46
128,hash_only,180,1
128,lattice_only,180,47
128,hybrid,181,44
128,hash_only,181,1
128,lattice_only,181,67
128,hybrid,182,65
128,hash_only,182,2
128,lattice_only,182,42
128,hybrid,183,45
128,hash_only,183,1
128,lattice_only,183,42
128,hybrid,184,45
128,hash_only,184,1
128,lattice_only,184,42
128,hybrid,185,45
128,hash_only,185,1
128,lattice_only,185,41
128,hybrid,186,44
128,hash_only,186,1
128,lattice_only,186,42
128,hybrid,187,45
128,hash_only,187,1
128,lattice_only,187,42
128,hybrid,188,52
128,hash_only,188,1
128,lattice_only,188,42
128,hybrid,189,46
128,hash_only,189,1
128,lattice_only,189,67
128,hybrid,190,47
128,hash_only,190,1
128,lattice_only,190,42
128,hybrid,191,45
128,hash_only,191,1
128,lattice_only,191,43
128,hybrid,192,45
128,hash_only,192,1
128,lattice_only,192,42
128,hybrid,193,45
128,hash_only,193,1
128,lattice_only,193,42
128,hybrid,194,44
128,hash_only,194,1
128,lattice_only,194,42
128,hybrid,195,44
128,hash_only,195,1
128,lattice_only,195,43
128,hybrid,196,49
128,hash_only,196,1
128,lattice_only,196,42
128,hybrid,197,46
128,hash_only,197,1
128,lattice_only,197,41
128,hybrid,198,68
128,hash_only,198,1
128,lattice_only,198,42
128,hybrid,199,45
128,hash_only,199,1
128,lattice_only,199,41
128,hybrid,200,46
128,hash_only,200,1
128,lattice_only,200,43
128,hybrid,201,44
128,hash_only,201,1
128,lattice_only,201,41
128,hybrid,202,44
128,hash_only,202,1
128,lattice_only,202,43
128,hybrid,203,45
128,hash_only,203,1
128,lattice_only,203,41
128,hybrid,204,45
128,hash_only,204,1
128,lattice_only,204,108
128,hybrid,205,46
128,hash_only,205,1
128,lattice_only,205,69
128,hybrid,206,46
128,hash_only,206,1
128,lattice_only,206,42
128,hybrid,207,45
128,hash_only,207,1
128,lattice_only,207,42
128,hybrid,208,44
128,hash_only,208,1
128,lattice_only,208,43
128,hybrid,209,45
128,hash_only,209,1
128,lattice_only,209,41
128,hybrid,210,45
128,hash_only,210,1
128,lattice_only,210,41
128,hybrid,211,44
128,hash_only,211,1
128,lattice_only,211,41
128,hybrid,212,46
128,hash_only,212,1
128,lattice_only,212,40
128,hybrid,213,58
128,hash_only,213,1
128,lattice_only,213,48
128,hybrid,214,73
128,hash_only,214,1
128,lattice_only,214,43
128,hybrid,215,45
128,hash_only,215,1
128,lattice_only,215,43
128,hybrid,216,50
128,hash_only,216,1
128,lattice_only,216,43
128,hybrid,217,45
128,hash_only,217,1
128,lattice_only,217,42
128,hybrid,218,45
128,hash_only,218,1
128,lattice_only,218,43
128,hybrid,219,45
128,hash_only,219,1
128,lattice_only,219,41
128,hybrid,220,44
128,hash_only,220,1
128,lattice_only,220,47
128,hybrid,221,44
128,hash_only,221,1
128,lattice_only,221,42
128,hybrid,222,83
128,hash_only,222,1
128,lattice_only,222,61
128,hybrid,223,52
128,hash_only,223,1
128,lattice_only,223,42
128,hybrid,224,45
128,hash_only,224,1
128,lattice_only,224,43
128,hybrid,225,45
128,hash_only,225,1
128,lattice_only,225,42
128,hybrid,226,44
128,hash_only,226,1
128,lattice_only,226,41
128,hybrid,227,45
128,hash_only,227,1
128,lattice_only,227,43
128,hybrid,228,44
128,hash_only,228,1
128,lattice_only,228,48
128,hybrid,229,44
128,hash_only,229,1
128,lattice_only,229,43
128,hybrid,230,69
128,hash_only,230,1
128,lattice_only,230,43
128,hybrid,231,46
128,hash_only,231,1
128,lattice_only,231,42
128,hybrid,232,45
128,hash_only,232,1
128,lattice_only,232,41
128,hybrid,233,45
128,hash_only,233,1
128,lattice_only,233,41
128,hybrid,234,45
128,hash_only,234,1
128,lattice_only,234,41
128,hybrid,235,46
128,hash_only,235,1
128,lattice_only,235,41
128,hybrid,236,44
128,hash_only,236,1
128,lattice_only,236,43
128,hybrid,237,87
128,hash_only,237,1
128,lattice_only,237,43
128,hybrid,238,71
128,hash_only,238,1
128,lattice_only,238,43
128,hybrid,239,45
128,hash_only,239,1
128,lattice_only,239,41
128,hybrid,240,46
128,hash_only,240,1
128,lattice_only,240,41
128,hybrid,241,45
128,hash_only,241,1
128,lattice_only,241,42
128,hybrid,242,45
128,hash_only,242,1
128,lattice_only,242,43
128,hybrid,243,46
128,hash_only,243,1
128,lattice_only,243,43
128,hybrid,244,45
128,hash_only,244,1
128,lattice_only,244,43
128,hybrid,245,44
128,hash_only,245,1
128,lattice_only,245,41
128,hybrid,246,45
128,hash_only,246,1
128,lattice_only,246,67
128,hybrid,247,46
128,hash_only,247,1
128,lattice_only,247,42
128,hybrid,248,43
128,hash_only,248,1
128,lattice_only,248,43
128,hybrid,249,45
128,hash_only,249,1
128,lattice_only,249,43
128,hybrid,250,45
128,hash_only,250,1
128,lattice_only,250,42
128,hybrid,251,44
128,hash_only,251,1
128,lattice_only,251,43
128,hybrid,252,45
128,hash_only,252,1
128,lattice_only,252,42
128,hybrid,253,54
128,hash_only,253,1
128,lattice_only,253,43
128,hybrid,254,45
128,hash_only,254,1
128,lattice_only,254,43
128,hybrid,255,69
128,hash_only,255,1
128,lattice_only,255,42
128,hybrid,256,46
128,hash_only,256,1
128,lattice_only,256,43
128,hybrid,257,44
128,hash_only,257,1
128,lattice_only,257,46
128,hybrid,258,45
128,hash_only,258,1
128,lattice_only,258,41
128,hybrid,259,45
128,hash_only,259,1
128,lattice_only,259,43
128,hybrid,260,45
128,hash_only,260,1
128,lattice_only,260,43
128,hybrid,261,44
128,hash_only,261,1
128,lattice_only,261,74
128,hybrid,262,46
128,hash_only,262,1
128,lattice_only,262,43
128,hybrid,263,73
128,hash_only,263,1
128,lattice_only,263,42
128,hybrid,264,45
128,hash_only,264,1
128,lattice_only,264,42
128,hybrid,265,44
128,hash_only,265,1
128,lattice_only,265,42
128,hybrid,266,50
128,hash_only,266,1
128,lattice_only,266,58
128,hybrid,267,46
128,hash_only,267,1
128,lattice_only,267,41
128,hybrid,268,44
128,hash_only,268,1
128,lattice_only,268,43
128,hybrid,269,46
128,hash_only,269,7
