n,q,sigma,scheme,trial,latency_us
512,3329,1,hybrid,235,492
512,3329,1,lattice_only,235,512
512,3329,1,hybrid,236,556
512,3329,1,lattice_only,236,510
512,3329,1,hybrid,237,499
512,3329,1,lattice_only,237,507
512,3329,1,hybrid,238,498
512,3329,1,lattice_only,238,504
512,3329,1,hybrid,239,498
512,3329,1,lattice_only,239,540
512,3329,1,hybrid,240,501
512,3329,1,lattice_only,240,507
512,3329,1,hybrid,241,522
512,3329,1,lattice_only,241,480
512,3329,1,hybrid,242,526
512,3329,1,lattice_only,242,480
512,3329,1,hybrid,243,532
512,3329,1,lattice_only,243,526
512,3329,1,hybrid,244,529
512,3329,1,lattice_only,244,480
512,3329,1,hybrid,245,522
512,3329,1,lattice_only,245,480
512,3329,1,hybrid,246,519
512,3329,1,lattice_only,246,502
512,3329,1,hybrid,247,524
512,3329,1,lattice_only,247,501
512,3329,1,hybrid,248,520
512,3329,1,lattice_only,248,485
512,3329,1,hybrid,249,521
512,3329,1,lattice_only,249,488
512,3329,1,hybrid,250,519
512,3329,1,lattice_only,250,512
512,3329,1,hybrid,251,530
512,3329,1,lattice_only,251,516
512,3329,1,hybrid,252,493
512,3329,1,lattice_only,252,509
512,3329,1,hybrid,253,492
512,3329,1,lattice_only,253,513
512,3329,1,hybrid,254,492
512,3329,1,lattice_only,254,520
512,3329,1,hybrid,255,538
512,3329,1,lattice_only,255,511
512,3329,1,hybrid,256,501
512,3329,1,lattice_only,256,505
512,3329,1,hybrid,257,498
512,3329,1,lattice_only,257,506
512,3329,1,hybrid,258,498
512,3329,1,lattice_only,258,542
512,3329,1,hybrid,259,533
512,3329,1,lattice_only,259,480
512,3329,1,hybrid,260,526
512,3329,1,lattice_only,260,480
512,3329,1,hybrid,261,525
512,3329,1,lattice_only,261,480
512,3329,1,hybrid,262,525
512,3329,1,lattice_only,262,519
512,3329,1,hybrid,263,529
512,3329,1,lattice_only,263,479
512,3329,1,hybrid,264,519
512,3329,1,lattice_only,264,486
512,3329,1,hybrid,265,518
512,3329,1,lattice_only,265,485
512,3329,1,hybrid,266,554
512,3329,1,lattice_only,266,497
512,3329,1,hybrid,267,520
512,3329,1,lattice_only,267,485
512,3329,1,hybrid,268,520
512,3329,1,lattice_only,268,488
512,3329,1,hybrid,269,493
512,3329,1,lattice_only,269,513
512,3329,1,hybrid,270,550
512,3329,1,lattice_only,270,516
512,3329,1,hybrid,271,492
512,3329,1,lattice_only,271,509
512,3329,1,hybrid,272,492
512,3329,1,lattice_only,272,513
512,3329,1,hybrid,273,498
512,3329,1,lattice_only,273,504
512,3329,1,hybrid,274,536
512,3329,1,lattice_only,274,507
512,3329,1,hybrid,275,498
512,3329,1,lattice_only,275,507
512,3329,1,hybrid,276,513
512,3329,1,lattice_only,276,509
512,3329,1,hybrid,277,498
512,3329,1,lattice_only,277,542
512,3329,1,hybrid,278,532
512,3329,1,lattice_only,278,481
512,3329,1,hybrid,279,522
512,3329,1,lattice_only,279,479
512,3329,1,hybrid,280,525
512,3329,1,lattice_only,280,480
512,3329,1,hybrid,281,526
512,3329,1,lattice_only,281,517
512,3329,1,hybrid,282,522
512,3329,1,lattice_only,282,486
512,3329,1,hybrid,283,523
512,3329,1,lattice_only,283,486
512,3329,1,hybrid,284,523
512,3329,1,lattice_only,284,488
512,3329,1,hybrid,285,557
512,3329,1,lattice_only,285,487
512,3329,1,hybrid,286,497
512,3329,1,lattice_only,286,513
512,3329,1,hybrid,287,493
512,3329,1,lattice_only,287,514
512,3329,1,hybrid,288,493
512,3329,1,lattice_only,288,513
