n,scheme,trial,latency_us
256,hash_only,28,1
256,lattice_only,28,1083
256,hybrid,29,264
256,hash_only,29,1
256,lattice_only,29,1086
256,hybrid,30,241
256,hash_only,30,1
256,lattice_only,30,1143
256,hybrid,31,241
256,hash_only,31,1
256,lattice_only,31,1209
256,hybrid,32,288
256,hash_only,32,1
256,lattice_only,32,1086
256,hybrid,33,244
256,hash_only,33,1
256,lattice_only,33,1170
256,hybrid,34,238
256,hash_only,34,1
256,lattice_only,34,1101
256,hybrid,35,265
256,hash_only,35,1
256,lattice_only,35,1092
256,hybrid,36,241
256,hash_only,36,1
256,lattice_only,36,1140
256,hybrid,37,238
256,hash_only,37,1
256,lattice_only,37,1221
256,hybrid,38,268
256,hash_only,38,1
256,lattice_only,38,1068
256,hybrid,39,243
256,hash_only,39,1
256,lattice_only,39,1146
256,hybrid,40,243
256,hash_only,40,1
256,lattice_only,40,1089
256,hybrid,41,264
256,hash_only,41,1
256,lattice_only,41,1074
256,hybrid,42,240
256,hash_only,42,1
256,lattice_only,42,1158
256,hybrid,43,241
256,hash_only,43,1
256,lattice_only,43,1269
256,hybrid,44,262
256,hash_only,44,1
256,lattice_only,44,1071
256,hybrid,45,243
256,hash_only,45,1
256,lattice_only,45,1161
256,hybrid,46,241
256,hash_only,46,1
256,lattice_only,46,1092
256,hybrid,47,265
256,hash_only,47,1
256,lattice_only,47,1080
256,hybrid,48,245
256,hash_only,48,1
256,lattice_only,48,1134
256,hybrid,49,242
256,hash_only,49,1
256,lattice_only,49,1200
256,hybrid,50,279
256,hash_only,50,1
256,lattice_only,50,1122
256,hybrid,51,244
256,hash_only,51,1
256,lattice_only,51,1140
256,hybrid,52,240
256,hash_only,52,1
256,lattice_only,52,1104
256,hybrid,53,264
256,hash_only,53,1
256,lattice_only,53,1380
256,hybrid,54,312
256,hash_only,54,40
256,lattice_only,54,1533
256,hybrid,55,348
256,hash_only,55,2
256,lattice_only,55,1227
256,hybrid,56,239
256,hash_only,56,1
256,lattice_only,56,1179
256,hybrid,57,241
256,hash_only,57,3
256,lattice_only,57,1089
256,hybrid,58,252
256,hash_only,58,1
256,lattice_only,58,1167
256,hybrid,59,245
256,hash_only,59,1
256,lattice_only,59,1212
256,hybrid,60,247
256,hash_only,60,1
256,lattice_only,60,1080
256,hybrid,61,289
256,hash_only,61,1
256,lattice_only,61,1101
256,hybrid,62,246
256,hash_only,62,1
256,lattice_only,62,1185
256,hybrid,63,248
256,hash_only,63,1
256,lattice_only,63,1086
256,hybrid,64,245
256,hash_only,64,1
256,lattice_only,64,1071
256,hybrid,65,243
256,hash_only,65,1
256,lattice_only,65,1170
256,hybrid,66,239
256,hash_only,66,1
256,lattice_only,66,1068
256,hybrid,67,318
256,hash_only,67,1
256,lattice_only,67,1074
256,hybrid,68,237
256,hash_only,68,1
256,lattice_only,68,1161
256,hybrid,69,239
256,hash_only,69,1
256,lattice_only,69,1077
256,hybrid,70,242
256,hash_only,70,1
256,lattice_only,70,1140
256,hybrid,71,238
256,hash_only,71,1
256,lattice_only,71,1170
256,hybrid,72,253
256,hash_only,72,1
256,lattice_only,72,1086
256,hybrid,73,286
256,hash_only,73,1
256,lattice_only,73,1080
256,hybrid,74,239
256,hash_only,74,1
256,lattice_only,74,1152
256,hybrid,75,240
256,hash_only,75,1
256,lattice_only,75,1098
256,hybrid,76,237
256,hash_only,76,1
256,lattice_only,76,1122
256,hybrid,77,229
256,hash_only,77,1
256,lattice_only,77,1047
256,hybrid,78,289
256,hash_only,78,1
256,lattice_only,78,1080
256,hybrid,79,348
256,hash_only,79,2
256,lattice_only,79,1062
256,hybrid,80,241
256,hash_only,80,1
256,lattice_only,80,1155
256,hybrid,81,249
256,hash_only,81,1
256,lattice_only,81,1071
256,hybrid,82,239
256,hash_only,82,1
256,lattice_only,82,1143
256,hybrid,83,238
256,hash_only,83,1
256,lattice_only,83,1191
256,hybrid,84,241
256,hash_only,84,1
256,lattice_only,84,1107
256,hybrid,85,285
256,hash_only,85,1
256,lattice_only,85,1170
256,hybrid,86,239
256,hash_only,86,1
256,lattice_only,86,1173
256,hybrid,87,239
256,hash_only,87,1
256,lattice_only,87,1095
256,hybrid,88,244
256,hash_only,88,1
256,lattice_only,88,1164
256,hybrid,89,248
256,hash_only,89,1
256,lattice_only,89,1176
256,hybrid,90,238
256,hash_only,90,1
256,lattice_only,90,1071
256,hybrid,91,288
256,hash_only,91,1
256,lattice_only,91,1170
256,hybrid,92,241
256,hash_only,92,1
256,lattice_only,92,1164
256,hybrid,93,241
256,hash_only,93,1
256,lattice_only,93,1071
256,hybrid,94,240
256,hash_only,94,1
256,lattice_only,94,1155
256,hybrid,95,237
256,hash_only,95,1
256,lattice_only,95,1095
256,hybrid,96,268
256,hash_only,96,1
256,lattice_only,96,1083
256,hybrid,97,299
256,hash_only,97,1
256,lattice_only,97,1197
256,hybrid,98,242
256,hash_only,98,1
256,lattice_only,98,1305
256,hybrid,99,243
256,hash_only,99,1
256,lattice_only,99,1077
256,hybrid,100,245
256,hash_only,100,31
256,lattice_only,100,1083
256,hybrid,101,239
256,hash_only,101,1
256,lattice_only,101,1167
256,hybrid,102,236
256,hash_only,102,1
256,lattice_only,102,1083
256,hybrid,103,287
256,hash_only,103,1
256,lattice_only,103,1086
256,hybrid,104,240
256,hash_only,104,1
256,lattice_only,104,1179
256,hybrid,105,240
256,hash_only,105,1
256,lattice_only,105,1077
256,hybrid,106,243
256,hash_only,106,1
256,lattice_only,106,1146
256,hybrid,107,241
256,hash_only,107,1
256,lattice_only,107,1167
256,hybrid,108,246
256,hash_only,108,1
256,lattice_only,108,1071
256,hybrid,109,287
256,hash_only,109,1
256,lattice_only,109,1074
256,hybrid,110,239
256,hash_only,110,1
256,lattice_only,110,1170
256,hybrid,111,241
256,hash_only,111,1
256,lattice_only,111,1095
256,hybrid,112,244
256,hash_only,112,1
256,lattice_only,112,1158
256,hybrid,113,239
256,hash_only,113,1
256,lattice_only,113,1194
256,hybrid,114,239
256,hash_only,114,1
256,lattice_only,114,1071
256,hybrid,115,289
256,hash_only,115,1
256,lattice_only,115,1161
256,hybrid,116,245
256,hash_only,116,1
256,lattice_only,116,1167
256,hybrid,117,242
256,hash_only,117,1
256,lattice_only,117,1086
256,hybrid,118,251
256,hash_only,118,1
256,lattice_only,118,1155
256,hybrid,119,241
256,hash_only,119,1
256,lattice_only,119,1086
256,hybrid,120,239
256,hash_only,120,1
256,lattice_only,120,1062
256,hybrid,121,287
256,hash_only,121,1
256,lattice_only,121,1140
256,hybrid,122,239
256,hash_only,122,1
256,lattice_only,122,1083
256,hybrid,123,266
256,hash_only,123,1
256,lattice_only,123,1068
256,hybrid,124,244
256,hash_only,124,1
256,lattice_only,124,1155
256,hybrid,125,240
256,hash_only,125,1
256,lattice_only,125,1188
256,hybrid,126,262
256,hash_only,126,1
256,lattice_only,126,1101
256,hybrid,127,286
256,hash_only,127,1
256,lattice_only,127,1134
256,hybrid,128,244
256,hash_only,128,1
256,lattice_only,128,1083
256,hybrid,129,265
256,hash_only,129,1
256,lattice_only,129,1080
256,hybrid,130,243
256,hash_only,130,1
256,lattice_only,130,1131
256,hybrid,131,244
256,hash_only,131,1
256,lattice_only,131,1104
256,hybrid,132,267
256,hash_only,132,1
256,lattice_only,132,1104
256,hybrid,133,308
256,hash_only,133,1
256,lattice_only,133,1146
256,hybrid,134,239
256,hash_only,134,1
256,lattice_only,134,1074
256,hybrid,135,262
256,hash_only,135,1
256,lattice_only,135,1077
256,hybrid,136,250
256,hash_only,136,1
256,lattice_only,136,1131
256,hybrid,137,242
256,hash_only,137,1
256,lattice_only,137,1113
256,hybrid,138,265
256,hash_only,138,1
256,lattice_only,138,1068
256,hybrid,139,288
256,hash_only,139,1
256,lattice_only,139,1161
256,hybrid,140,237
256,hash_only,140,1
256,lattice_only,140,1098
256,hybrid,141,267
256,hash_only,141,1
256,lattice_only,141,1050
256,hybrid,142,245
256,hash_only,142,1
256,lattice_only,142,1161
256,hybrid,143,239
256,hash_only,143,1
256,lattice_only,143,1116
256,hybrid,144,271
256,hash_only,144,1
256,lattice_only,144,1062
256,hybrid,145,241
256,hash_only,145,1
256,lattice_only,145,1158
256,hybrid,146,238
256,hash_only,146,1
256,lattice_only,146,1086
256,hybrid,147,261
256,hash_only,147,1
256,lattice_only,147,1071
256,hybrid,148,249
256,hash_only,148,1
256,lattice_only,148,1158
256,hybrid,149,239
256,hash_only,149,1
256,lattice_only,149,1092
256,hybrid,150,260
256,hash_only,150,1
256,lattice_only,150,1089
256,hybrid,151,250
256,hash_only,151,1
256,lattice_only,151,1149
256,hybrid,152,240
256,hash_only,152,1
256,lattice_only,152,1080
256,hybrid,153,263
256,hash_only,153,1
256,lattice_only,153,1077
256,hybrid,154,244
256,hash_only,154,1
256,lattice_only,154,1161
256,hybrid,155,241
256,hash_only,155,1
256,lattice_only,155,1089
256,hybrid,156,261
256,hash_only,156,1
256,lattice_only,156,1059
256,hybrid,157,241
256,hash_only,157,1
256,lattice_only,157,1278
256,hybrid,158,238
256,hash_only,158,1
256,lattice_only,158,1128
256,hybrid,159,266
256,hash_only,159,1
256,lattice_only,159,1074
256,hybrid,160,239
256,hash_only,160,1
256,lattice_only,160,1149
256,hybrid,161,235
256,hash_only,161,1
256,lattice_only,161,1089
256,hybrid,162,262
256,hash_only,162,1
256,lattice_only,162,1059
256,hybrid,163,246
256,hash_only,163,1
256,lattice_only,163,1311
256,hybrid,164,237
256,hash_only,164,1
256,lattice_only,164,1086
256,hybrid,165,261
256,hash_only,165,1
256,lattice_only,165,1071
256,hybrid,166,239
256,hash_only,166,1
256,lattice_only,166,1155
256,hybrid,167,240
256,hash_only,167,1
256,lattice_only,167,1092
256,hybrid,168,269
256,hash_only,168,1
256,lattice_only,168,1083
256,hybrid,169,238
256,hash_only,169,1
256,lattice_only,169,1266
