n,scheme,target_rate,latency_us,breached
128,hybrid,2500,81,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,58,0
128,hybrid,2500,46,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,49,0
128,hybrid,2500,83,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,44,0
128,hybrid,2500,45,0
128,hybrid,2500,44,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,81,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,47,0
128,hybrid,2500,46,0
128,hybrid,2500,47,0
128,hybrid,2500,87,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,44,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,81,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,81,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,57,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,44,0
128,hybrid,2500,81,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,84,0
128,hybrid,2500,53,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,77,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,77,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,44,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,44,0
128,hybrid,2500,45,0
128,hybrid,2500,77,0
128,hybrid,2500,47,0
128,hybrid,2500,46,0
128,hybrid,2500,57,0
128,hybrid,2500,44,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,44,0
128,hybrid,2500,80,0
128,hybrid,2500,46,0
128,hybrid,2500,50,0
128,hybrid,2500,45,0
128,hybrid,2500,44,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,47,0
128,hybrid,2500,46,0
128,hybrid,2500,44,0
128,hybrid,2500,80,0
128,hybrid,2500,46,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,44,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,44,0
128,hybrid,2500,88,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,44,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,83,0
128,hybrid,2500,45,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,44,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,47,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,88,0
128,hybrid,2500,46,0
128,hybrid,2500,47,0
128,hybrid,2500,57,0
128,hybrid,2500,44,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,77,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
